;link;eng_name;rus_name;year;duration;country;genre;director_name;rating
131;https://www.kinopoisk.ru/film/6695/;Star Wars: Episode I - The Phantom Menace;Звёздные войны: Эпизод 1 — Скрытая угроза;1999;136;США;фантастика;Джордж Лукас;7.9
132;https://www.kinopoisk.ru/film/4625021/;;Тень. Взять Гордея;2022;202;Россия;детектив;Илья Куликов;
133;https://www.kinopoisk.ru/film/1245524/;Palm Springs;Зависнуть в Палм-Спрингс;2020;202;США;комедия;Макс Барбаков;7.3
134;https://www.kinopoisk.ru/film/1405778/;;Казнь;2021;137;Россия;детектив;Ладо Кватания;7.5
135;https://www.kinopoisk.ru/film/558393/;The Gray Man;Серый человек;2022;120;США;боевик;Энтони Руссо;
136;https://www.kinopoisk.ru/film/807339/;Little Women;Маленькие женщины;2019;135;США;драма;Грета Гервиг;7.8
137;https://www.kinopoisk.ru/film/4368595/;The Black Phone;Чёрный телефон;2021;103;США;триллер;Скотт Дерриксон;
138;https://www.kinopoisk.ru/film/3563/;Interstate 60;Трасса 60;2001;116;Канада;фантастика;Боб Гейл;8.0
139;https://www.kinopoisk.ru/film/4642823/;;Орел и решка. Кино;2022;202;Россия;комедия;Вазген Каграманян;
140;https://www.kinopoisk.ru/film/1263450/;Queenpins;Отчаянные аферистки;2021;110;США;комедия;Арон Годет;
141;https://www.kinopoisk.ru/film/2389/;Beetlejuice;Битлджюс;1988;198;США;фэнтези;Тим Бёртон;7.4
142;https://www.kinopoisk.ru/film/1112132/;Hereditary;Реинкарнация;2018;127;США;ужасы;Ари Астер;
143;https://www.kinopoisk.ru/film/450213/;The Blind Side;Невидимая сторона;2009;129;США;драма;Джон Ли Хэнкок;8.2
144;https://www.kinopoisk.ru/film/4798203/;;Трудные подростки. Новогодняя серия;2021;202;Россия;драма;Рустам Ильясов;7.5
145;https://www.kinopoisk.ru/film/81314/;The Departed;Отступники;2006;151;США;триллер;Мартин Скорсезе;8.5
146;https://www.kinopoisk.ru/film/4920569/;;Время патриотов;2022;101;Казахстан;боевик;Серикбол Утепбергенов;7.2
147;https://www.kinopoisk.ru/film/839954/;Legend;Легенда;2015;131;Великобритания;криминал;Брайан Хелгеленд;7.2
148;https://www.kinopoisk.ru/film/4382899/;;X;2022;105;США;ужасы;Тай Уэст;
149;https://www.kinopoisk.ru/film/1313198/;The Northman;Варяг;2022;137;США;фэнтези;Роберт Эггерс;
150;https://www.kinopoisk.ru/film/345/;The Silence of the Lambs;Молчание ягнят;1990;118;США;триллер;Джонатан Демме;8.3
151;https://www.kinopoisk.ru/film/7718/;Les parapluies de Cherbourg;Шербурские зонтики;1964;196;Франция;мюзикл;Жак Деми;7.7
152;https://www.kinopoisk.ru/film/1326397/;;Батя;2020;202;Россия;комедия;Дмитрий Ефимович;7.6
153;https://www.kinopoisk.ru/film/4396744/;Jeepers Creepers: Reborn;Джиперс Криперс: Возрожденный;2021;202;Великобритания;ужасы;Тимо Вуоренсола;
154;https://www.kinopoisk.ru/film/674295/;The Call;Тревожный вызов;2013;201;США;триллер;Брэд Андерсон;7.2
155;https://www.kinopoisk.ru/film/1098154/;After;После;2019;105;США;мелодрама;Дженни Гейдж;
156;https://www.kinopoisk.ru/film/430/;Shrek;Шрэк;2001;200;США;мультфильм;Эндрю Адамсон;8.1
157;https://www.kinopoisk.ru/film/1355139/;Dog;Лулу и Бриггс;2021;101;США;комедия;Рид Каролин;7.4
